127.0.0.1 - - [27/May/2020:16:26:40 +0200] "GET / HTTP/1.1" 404 637
0:0:0:0:0:0:0:1 - - [27/May/2020:16:26:41 +0200] "GET /Trabajo_IW/index.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [27/May/2020:16:26:52 +0200] "POST /Trabajo_IW/Controlador/loginControl.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:26:52 +0200] "GET /Trabajo_IW/Home%20(Libros).jsp HTTP/1.1" 200 4095
0:0:0:0:0:0:0:1 - - [27/May/2020:16:26:55 +0200] "GET /Trabajo_IW/Vistas/Home%20Reservas.jsp HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [27/May/2020:16:27:58 +0200] "GET /Trabajo_IW/Controlador/Reserva.jsp?titulo=El_Gran_Desierto&usuario=i72frpeu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:27:59 +0200] "GET /Trabajo_IW/Vistas/Reserva.jsp HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [27/May/2020:16:28:00 +0200] "GET /Trabajo_IW/Vistas/Reservas.jsp HTTP/1.1" 404 675
0:0:0:0:0:0:0:1 - - [27/May/2020:16:33:37 +0200] "GET /Trabajo_IW/Controlador/Home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:33:37 +0200] "GET /Trabajo_IW/Home%20(Libros).jsp HTTP/1.1" 200 4095
0:0:0:0:0:0:0:1 - - [27/May/2020:16:33:39 +0200] "GET /Trabajo_IW/Vistas/Home%20Reservas.jsp HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [27/May/2020:16:33:40 +0200] "GET /Trabajo_IW/Controlador/Reserva.jsp?titulo=El_Gran_Desierto&usuario=i72frpeu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:16:33:40 +0200] "GET /Trabajo_IW/Vistas/Reserva.jsp HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [27/May/2020:16:41:38 +0200] "GET /Trabajo_IW/Vistas/Reservas.jsp HTTP/1.1" 404 675
0:0:0:0:0:0:0:1 - - [27/May/2020:16:41:44 +0200] "GET /Trabajo_IW/Vistas/Reserva.jsp HTTP/1.1" 200 772
